Nummer;Rechnung;ErsteZahl;ZweiteZahl;Ergebnis;Rechenart;Zahlenraum;Rest
1;0 + 0= ;0;0;0;+;0
2;0 + 1= ;0;1;1;+;1
3;0 + 2= ;0;2;2;+;2
4;0 + 3= ;0;3;3;+;3
5;0 + 4= ;0;4;4;+;4
6;0 + 5= ;0;5;5;+;5
7;0 + 6= ;0;6;6;+;6
8;0 + 7= ;0;7;7;+;7
9;0 + 8= ;0;8;8;+;8
10;0 + 9= ;0;9;9;+;9
11;0 + 10= ;0;10;10;+;10
1002;1 + 0= ;1;0;1;+;1
1003;1 + 1= ;1;1;2;+;2
1004;1 + 2= ;1;2;3;+;3
1005;1 + 3= ;1;3;4;+;4
1006;1 + 4= ;1;4;5;+;5
1007;1 + 5= ;1;5;6;+;6
1008;1 + 6= ;1;6;7;+;7
1009;1 + 7= ;1;7;8;+;8
1010;1 + 8= ;1;8;9;+;9
1011;1 + 9= ;1;9;10;+;10
2003;2 + 0= ;2;0;2;+;2
2004;2 + 1= ;2;1;3;+;3
2005;2 + 2= ;2;2;4;+;4
2006;2 + 3= ;2;3;5;+;5
2007;2 + 4= ;2;4;6;+;6
2008;2 + 5= ;2;5;7;+;7
2009;2 + 6= ;2;6;8;+;8
2010;2 + 7= ;2;7;9;+;9
2011;2 + 8= ;2;8;10;+;10
3004;3 + 0= ;3;0;3;+;3
3005;3 + 1= ;3;1;4;+;4
3006;3 + 2= ;3;2;5;+;5
3007;3 + 3= ;3;3;6;+;6
3008;3 + 4= ;3;4;7;+;7
3009;3 + 5= ;3;5;8;+;8
3010;3 + 6= ;3;6;9;+;9
3011;3 + 7= ;3;7;10;+;10
4005;4 + 0= ;4;0;4;+;4
4006;4 + 1= ;4;1;5;+;5
4007;4 + 2= ;4;2;6;+;6
4008;4 + 3= ;4;3;7;+;7
4009;4 + 4= ;4;4;8;+;8
4010;4 + 5= ;4;5;9;+;9
4011;4 + 6= ;4;6;10;+;10
5006;5 + 0= ;5;0;5;+;5
5007;5 + 1= ;5;1;6;+;6
5008;5 + 2= ;5;2;7;+;7
5009;5 + 3= ;5;3;8;+;8
5010;5 + 4= ;5;4;9;+;9
5011;5 + 5= ;5;5;10;+;10
6007;6 + 0= ;6;0;6;+;6
6008;6 + 1= ;6;1;7;+;7
6009;6 + 2= ;6;2;8;+;8
6010;6 + 3= ;6;3;9;+;9
6011;6 + 4= ;6;4;10;+;10
7008;7 + 0= ;7;0;7;+;7
7009;7 + 1= ;7;1;8;+;8
7010;7 + 2= ;7;2;9;+;9
7011;7 + 3= ;7;3;10;+;10
8009;8 + 0= ;8;0;8;+;8
8010;8 + 1= ;8;1;9;+;9
8011;8 + 2= ;8;2;10;+;10
9010;9 + 0= ;9;0;9;+;9
9011;9 + 1= ;9;1;10;+;10
10011;10 + 0= ;10;0;10;+;10
